,layerSize,layerNum,dropout,optimizer,accuracy,executionTime
0,512,2,0.2,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x0000016A8755DC70>,0.24709999561309814,70.17102241516113
1,512,2,0.2,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x0000016AB02E8790>,0.018200000748038292,65.18242645263672
2,512,2,0.4,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x0000016A8755DC70>,0.13680000603199005,67.59093880653381
3,512,2,0.4,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x0000016AB02E8790>,0.015799999237060547,66.9163818359375
4,512,2,0.6,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x0000016A8755DC70>,0.09939999878406525,66.25028371810913
5,512,2,0.6,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x0000016AB02E8790>,0.009999999776482582,64.79467272758484
6,512,4,0.2,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x0000016A8755DC70>,0.009999999776482582,76.73736763000488
7,512,4,0.2,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x0000016AB02E8790>,0.013299999758601189,72.35479235649109
8,512,4,0.4,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x0000016A8755DC70>,0.009999999776482582,74.48375463485718
9,512,4,0.4,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x0000016AB02E8790>,0.011800000444054604,74.03820514678955
10,512,4,0.6,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x0000016A8755DC70>,0.02879999950528145,74.32118797302246
11,512,4,0.6,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x0000016AB02E8790>,0.009999999776482582,74.57451224327087
12,512,6,0.2,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x0000016A8755DC70>,0.009999999776482582,81.8785228729248
13,512,6,0.2,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x0000016AB02E8790>,0.010300000198185444,81.01098227500916
14,512,6,0.4,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x0000016A8755DC70>,0.009999999776482582,85.76508140563965
15,512,6,0.4,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x0000016AB02E8790>,0.009999999776482582,79.3741774559021
16,512,6,0.6,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x0000016A8755DC70>,0.009999999776482582,84.18830418586731
17,512,6,0.6,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x0000016AB02E8790>,0.009999999776482582,79.10495781898499
18,1024,2,0.2,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x0000016A8755DC70>,0.1492999941110611,70.75639581680298
19,1024,2,0.2,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x0000016AB02E8790>,0.024000000208616257,70.36527562141418
20,1024,2,0.4,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x0000016A8755DC70>,0.17419999837875366,68.31897187232971
21,1024,2,0.4,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x0000016AB02E8790>,0.01549999974668026,69.80134677886963
22,1024,2,0.6,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x0000016A8755DC70>,0.031599998474121094,71.04726529121399
23,1024,2,0.6,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x0000016AB02E8790>,0.011500000022351742,72.51372623443604
24,1024,4,0.2,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x0000016A8755DC70>,0.009999999776482582,85.20332837104797
25,1024,4,0.2,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x0000016AB02E8790>,0.013100000098347664,81.6562910079956
26,1024,4,0.4,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x0000016A8755DC70>,0.009999999776482582,83.00843977928162
27,1024,4,0.4,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x0000016AB02E8790>,0.013199999928474426,81.78777861595154
28,1024,4,0.6,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x0000016A8755DC70>,0.009999999776482582,85.63108658790588
29,1024,4,0.6,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x0000016AB02E8790>,0.01590000092983246,80.31050276756287
30,1024,6,0.2,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x0000016A8755DC70>,0.009999999776482582,100.36156702041626
31,1024,6,0.2,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x0000016AB02E8790>,0.010599999688565731,95.92552924156189
32,1024,6,0.4,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x0000016A8755DC70>,0.009999999776482582,101.5061559677124
33,1024,6,0.4,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x0000016AB02E8790>,0.009999999776482582,95.38890981674194
34,1024,6,0.6,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x0000016A8755DC70>,0.009999999776482582,100.00232410430908
35,1024,6,0.6,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x0000016AB02E8790>,0.009999999776482582,95.57384753227234
36,2048,2,0.2,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x0000016A8755DC70>,0.1451999992132187,82.6009910106659
